,ImageName,label_name,label
4316,./data/NEU-CLS-64/rs/1259.jpg,rs,6
1211,./data/NEU-CLS-64/gg/63.jpg,gg,1
3999,./data/NEU-CLS-64/rs/116.jpg,rs,6
2062,./data/NEU-CLS-64/in/143.jpg,in,2
7166,./data/NEU-CLS-64/rp/7.jpg,rp,5
5356,./data/NEU-CLS-64/ps/503.jpg,ps,4
5453,./data/NEU-CLS-64/ps/525.jpg,ps,4
2312,./data/NEU-CLS-64/cr/957.jpg,cr,0
1512,./data/NEU-CLS-64/in/162.jpg,in,2
5379,./data/NEU-CLS-64/ps/660.jpg,ps,4
2029,./data/NEU-CLS-64/in/508.jpg,in,2
6393,./data/NEU-CLS-64/pa/267.jpg,pa,3
1250,./data/NEU-CLS-64/gg/158.jpg,gg,1
5146,./data/NEU-CLS-64/ps/767.jpg,ps,4
2000,./data/NEU-CLS-64/in/696.jpg,in,2
2877,./data/NEU-CLS-64/cr/281.jpg,cr,0
3967,./data/NEU-CLS-64/rs/1133.jpg,rs,6
4514,./data/NEU-CLS-64/rs/1288.jpg,rs,6
6095,./data/NEU-CLS-64/pa/1034.jpg,pa,3
3094,./data/NEU-CLS-64/cr/333.jpg,cr,0
473,./data/NEU-CLS-64/sc/407.jpg,sc,7
5918,./data/NEU-CLS-64/pa/567.jpg,pa,3
2107,./data/NEU-CLS-64/in/57.jpg,in,2
68,./data/NEU-CLS-64/sp/212.jpg,sp,8
999,./data/NEU-CLS-64/sc/433.jpg,sc,7
2345,./data/NEU-CLS-64/cr/177.jpg,cr,0
1039,./data/NEU-CLS-64/sc/7.jpg,sc,7
2564,./data/NEU-CLS-64/cr/1141.jpg,cr,0
1934,./data/NEU-CLS-64/in/446.jpg,in,2
51,./data/NEU-CLS-64/sp/148.jpg,sp,8
133,./data/NEU-CLS-64/sp/17.jpg,sp,8
1622,./data/NEU-CLS-64/in/367.jpg,in,2
1616,./data/NEU-CLS-64/in/549.jpg,in,2
1800,./data/NEU-CLS-64/in/106.jpg,in,2
4194,./data/NEU-CLS-64/rs/110.jpg,rs,6
4984,./data/NEU-CLS-64/rs/53.jpg,rs,6
275,./data/NEU-CLS-64/sp/332.jpg,sp,8
0,./data/NEU-CLS-64/sp/63.jpg,sp,8
2188,./data/NEU-CLS-64/in/596.jpg,in,2
5311,./data/NEU-CLS-64/ps/472.jpg,ps,4
5055,./data/NEU-CLS-64/rs/423.jpg,rs,6
3510,./data/NEU-CLS-64/rs/1179.jpg,rs,6
2114,./data/NEU-CLS-64/in/183.jpg,in,2
6964,./data/NEU-CLS-64/pa/422.jpg,pa,3
4115,./data/NEU-CLS-64/rs/503.jpg,rs,6
2397,./data/NEU-CLS-64/cr/955.jpg,cr,0
5226,./data/NEU-CLS-64/ps/417.jpg,ps,4
3372,./data/NEU-CLS-64/cr/568.jpg,cr,0
144,./data/NEU-CLS-64/sp/249.jpg,sp,8
4718,./data/NEU-CLS-64/rs/787.jpg,rs,6
293,./data/NEU-CLS-64/sp/396.jpg,sp,8
5662,./data/NEU-CLS-64/ps/744.jpg,ps,4
6293,./data/NEU-CLS-64/pa/1134.jpg,pa,3
1359,./data/NEU-CLS-64/gg/269.jpg,gg,1
4255,./data/NEU-CLS-64/rs/461.jpg,rs,6
4106,./data/NEU-CLS-64/rs/477.jpg,rs,6
3342,./data/NEU-CLS-64/cr/353.jpg,cr,0
1495,./data/NEU-CLS-64/gg/218.jpg,gg,1
454,./data/NEU-CLS-64/sc/214.jpg,sc,7
6670,./data/NEU-CLS-64/pa/509.jpg,pa,3
7058,./data/NEU-CLS-64/rp/165.jpg,rp,5
2083,./data/NEU-CLS-64/in/546.jpg,in,2
6144,./data/NEU-CLS-64/pa/698.jpg,pa,3
4506,./data/NEU-CLS-64/rs/1511.jpg,rs,6
1860,./data/NEU-CLS-64/in/322.jpg,in,2
160,./data/NEU-CLS-64/sp/258.jpg,sp,8
399,./data/NEU-CLS-64/sp/187.jpg,sp,8
3740,./data/NEU-CLS-64/rs/987.jpg,rs,6
7214,./data/NEU-CLS-64/rp/146.jpg,rp,5
4551,./data/NEU-CLS-64/rs/655.jpg,rs,6
5201,./data/NEU-CLS-64/ps/401.jpg,ps,4
5693,./data/NEU-CLS-64/ps/55.jpg,ps,4
4825,./data/NEU-CLS-64/rs/948.jpg,rs,6
2641,./data/NEU-CLS-64/cr/882.jpg,cr,0
3299,./data/NEU-CLS-64/cr/419.jpg,cr,0
2447,./data/NEU-CLS-64/cr/1194.jpg,cr,0
5046,./data/NEU-CLS-64/rs/231.jpg,rs,6
4666,./data/NEU-CLS-64/rs/1372.jpg,rs,6
2972,./data/NEU-CLS-64/cr/268.jpg,cr,0
888,./data/NEU-CLS-64/sc/481.jpg,sc,7
7151,./data/NEU-CLS-64/rp/194.jpg,rp,5
2735,./data/NEU-CLS-64/cr/1054.jpg,cr,0
1876,./data/NEU-CLS-64/in/531.jpg,in,2
7056,./data/NEU-CLS-64/rp/158.jpg,rp,5
1234,./data/NEU-CLS-64/gg/161.jpg,gg,1
3264,./data/NEU-CLS-64/cr/578.jpg,cr,0
6595,./data/NEU-CLS-64/pa/536.jpg,pa,3
7108,./data/NEU-CLS-64/rp/38.jpg,rp,5
2687,./data/NEU-CLS-64/cr/275.jpg,cr,0
3876,./data/NEU-CLS-64/rs/98.jpg,rs,6
2201,./data/NEU-CLS-64/in/540.jpg,in,2
3305,./data/NEU-CLS-64/cr/141.jpg,cr,0
3297,./data/NEU-CLS-64/cr/357.jpg,cr,0
2016,./data/NEU-CLS-64/in/333.jpg,in,2
833,./data/NEU-CLS-64/sc/645.jpg,sc,7
3545,./data/NEU-CLS-64/rs/981.jpg,rs,6
7163,./data/NEU-CLS-64/rp/57.jpg,rp,5
6789,./data/NEU-CLS-64/pa/57.jpg,pa,3
6843,./data/NEU-CLS-64/pa/592.jpg,pa,3
635,./data/NEU-CLS-64/sc/262.jpg,sc,7
678,./data/NEU-CLS-64/sc/513.jpg,sc,7
6966,./data/NEU-CLS-64/pa/350.jpg,pa,3
1215,./data/NEU-CLS-64/gg/176.jpg,gg,1
2948,./data/NEU-CLS-64/cr/1058.jpg,cr,0
4023,./data/NEU-CLS-64/rs/1086.jpg,rs,6
3721,./data/NEU-CLS-64/rs/206.jpg,rs,6
2055,./data/NEU-CLS-64/in/56.jpg,in,2
3958,./data/NEU-CLS-64/rs/1053.jpg,rs,6
2608,./data/NEU-CLS-64/cr/934.jpg,cr,0
4307,./data/NEU-CLS-64/rs/281.jpg,rs,6
6223,./data/NEU-CLS-64/pa/102.jpg,pa,3
4334,./data/NEU-CLS-64/rs/914.jpg,rs,6
1736,./data/NEU-CLS-64/in/466.jpg,in,2
